Date,SGOV,SHV,SHY,BIL,IEI,IEF,VGIT,TLT,TLH,EDV,AGG,BND
2020-06-01,86.12232208251953,95.5306625366211,76.76880645751953,79.02641296386719,119.54546356201172,107.10105895996094,61.04297637939453,138.74832153320312,139.89016723632812,132.83596801757812,100.68717956542969,74.75579833984375
2020-06-02,86.12490844726562,95.5306625366211,76.76880645751953,79.02641296386719,119.46491241455078,106.92517852783203,60.99967956542969,138.24388122558594,139.5539093017578,132.06591796875,100.77299499511719,74.81551361083984
2020-06-03,86.12662506103516,95.52201843261719,76.7067642211914,79.02641296386719,119.17828369140625,106.29191589355469,60.80050277709961,136.4056396484375,138.01548767089844,129.93397521972656,100.52420806884766,74.64502716064453
2020-06-04,86.12662506103516,95.51336669921875,76.7244873046875,79.02641296386719,118.99913024902344,105.86970520019531,60.67926025390625,134.43055725097656,136.6956024169922,127.30757904052734,100.22395324707031,74.46595764160156
2020-06-05,86.12232208251953,95.51336669921875,76.69790649414062,79.00920104980469,118.71257781982422,105.34200286865234,60.49741744995117,133.4729766845703,135.7960205078125,126.20513916015625,100.28400421142578,74.45743560791016
2020-06-08,86.12232208251953,95.51336669921875,76.68013763427734,79.01779174804688,118.77523040771484,105.45632934570312,60.53207778930664,133.9860076904297,135.96417236328125,126.7725830078125,100.39552307128906,74.53419494628906
2020-06-09,86.12232208251953,95.51336669921875,76.7067642211914,79.01779174804688,119.0170669555664,105.83454132080078,60.67060470581055,135.5078582763672,137.0739288330078,128.75857543945312,100.52420806884766,74.58531951904297
2020-06-10,86.12662506103516,95.51336669921875,76.75108337402344,79.02641296386719,119.45594024658203,106.62613677978516,60.94771194458008,137.51707458496094,138.6543426513672,131.31207275390625,100.93598175048828,74.90078735351562
2020-06-11,86.12662506103516,95.5306625366211,76.71559143066406,79.00920104980469,119.49174499511719,107.00433349609375,60.99101638793945,140.1162872314453,140.31057739257812,134.5301971435547,100.76437377929688,74.76435852050781
2020-06-12,86.12662506103516,95.5306625366211,76.74219512939453,79.02641296386719,119.42900848388672,106.766845703125,60.94771194458008,138.7654571533203,139.50343322753906,132.94139099121094,100.86734771728516,74.84107971191406
2020-06-15,86.12662506103516,95.51336669921875,76.7244873046875,79.02641296386719,119.38426208496094,106.67888641357422,60.93040466308594,138.84230041503906,139.51182556152344,133.30615234375,101.201904296875,74.99457550048828
2020-06-16,86.12662506103516,95.51336669921875,76.71559143066406,79.02641296386719,119.33053588867188,106.4590072631836,60.8784294128418,136.71343994140625,138.26760864257812,130.41226196289062,101.00460815429688,74.90078735351562
2020-06-17,86.13094329833984,95.51336669921875,76.74219512939453,79.02641296386719,119.36634826660156,106.62613677978516,60.9044189453125,137.27774047851562,138.6459503173828,130.9553680419922,100.9188003540039,74.91783142089844
2020-06-18,86.13439178466797,95.52201843261719,76.73333740234375,79.01779174804688,119.42005920410156,106.86359405517578,60.96502685546875,138.73121643066406,139.5875244140625,132.79547119140625,101.021728515625,75.00311279296875
2020-06-19,86.13522338867188,95.52201843261719,76.75108337402344,79.01779174804688,119.45594024658203,106.8987808227539,60.98234176635742,138.84230041503906,139.713623046875,132.746826171875,101.05607604980469,75.02867889404297
2020-06-22,86.13094329833984,95.52201843261719,76.73333740234375,79.01779174804688,119.40215301513672,106.8020248413086,60.95637893676758,138.85943603515625,139.65476989746094,133.0305633544922,101.03031921386719,75.00311279296875
2020-06-23,86.13094329833984,95.5306625366211,76.75108337402344,79.01779174804688,119.44699096679688,106.766845703125,60.93904113769531,137.91043090820312,139.17562866210938,131.88755798339844,101.01315307617188,74.96895599365234
2020-06-24,86.13094329833984,95.52201843261719,76.75993347167969,79.01779174804688,119.50967407226562,106.96916198730469,61.01700210571289,139.3894805908203,140.1676483154297,133.64663696289062,100.99604034423828,74.97750091552734
2020-06-25,86.13094329833984,95.52201843261719,76.75993347167969,79.02641296386719,119.52752685546875,106.9867172241211,61.01700210571289,139.79139709472656,140.33572387695312,134.2384033203125,101.11611938476562,75.05425262451172
2020-06-26,86.12662506103516,95.5306625366211,76.78655242919922,79.01779174804688,119.67981719970703,107.2769546508789,61.10359191894531,141.28765869140625,141.31930541992188,136.2406005859375,101.23622131347656,75.19068908691406
2020-06-29,86.13522338867188,95.52201843261719,76.8042984008789,79.01779174804688,119.76040649414062,107.38250732421875,61.16422653198242,140.843017578125,141.18487548828125,135.61642456054688,101.3219985961914,75.24180603027344
2020-06-30,86.13522338867188,95.53927612304688,76.79542541503906,79.01779174804688,119.71569061279297,107.18904113769531,61.11225509643555,140.15904235839844,140.68882751464844,134.5869140625,101.40779876708984,75.31852722167969
2020-07-01,86.13178253173828,95.52201843261719,76.76969146728516,79.01779174804688,119.6026840209961,107.02178192138672,61.05675506591797,139.88681030273438,140.47003173828125,134.49571228027344,101.46196746826172,75.33734893798828
2020-07-02,86.13694763183594,95.52201843261719,76.80517578125,79.02641296386719,119.71025085449219,107.1537857055664,61.13478469848633,140.03236389160156,140.5794219970703,134.5201416015625,101.58228302001953,75.45691680908203
2020-07-06,86.13178253173828,95.5306625366211,76.77855682373047,79.01779174804688,119.6205825805664,106.99532318115234,61.05675506591797,139.4588623046875,140.17543029785156,133.85218811035156,101.57368469238281,75.43132019042969
2020-07-07,86.13178253173828,95.5306625366211,76.79631042480469,79.01779174804688,119.74610900878906,107.33869171142578,61.160804748535156,141.41908264160156,141.45469665527344,136.26324462890625,101.72838592529297,75.5508804321289
