Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA
2015-11-11,26.204574584960938,46.74932098388672,38.00040817260742,33.662498474121094,108.34210205078125,0.7414436340332031,14.60533332824707
2015-11-12,26.11655616760254,46.46177673339844,37.56739807128906,33.279998779296875,107.35816955566406,0.7387701869010925,14.196000099182129
2015-11-13,25.35373306274414,46.04350662231445,36.75003433227539,32.11750030517578,103.3131103515625,0.7241894602775574,13.812666893005371
2015-11-16,25.769001007080078,46.8538818359375,37.26398468017578,32.390499114990234,103.40254974365234,0.7387701869010925,14.287332534790039
2015-11-17,25.658416748046875,46.467891693115234,37.04350662231445,32.165000915527344,104.48587036132812,0.7387701869010925,14.266667366027832
2015-11-18,26.470888137817383,47.23987579345703,37.740203857421875,33.176998138427734,107.10969543457031,0.7569438815116882,14.73799991607666
2015-11-19,26.80716323852539,47.318817138671875,37.736724853515625,33.063499450683594,105.60895538330078,0.759139358997345,14.786666870117188
2015-11-20,26.924518585205078,47.53813934326172,38.58387756347656,33.42250061035156,106.66246795654297,0.7657253742218018,14.667332649230957
2015-11-23,26.5747013092041,47.53813934326172,38.56898880004883,33.949501037597656,106.29473114013672,0.7542605400085449,14.516667366027832
2015-11-24,26.82973289489746,47.59078598022461,38.2179069519043,33.557498931884766,105.0921401977539,0.760358989238739,14.550000190734863
2015-11-25,26.63789939880371,47.09950637817383,38.19953155517578,33.766998291015625,104.76416015625,0.7593832612037659,15.309332847595215
2015-11-27,26.588241577148438,47.310062408447266,38.3341064453125,33.66299819946289,104.80390167236328,0.7657253742218018,15.440667152404785
2015-11-30,26.698823928833008,47.67849349975586,37.88123321533203,33.2400016784668,103.60133361816406,0.7737755179405212,15.350666999816895
2015-12-01,26.482175827026367,48.441715240478516,38.92105484008789,33.952999114990234,106.46369171142578,0.7989014387130737,15.812666893005371
2015-12-02,26.24294090270996,48.43293762207031,38.626094818115234,33.800498962402344,105.42011260986328,0.7928028702735901,15.465999603271484
2015-12-03,25.999197006225586,47.546913146972656,38.14689254760742,33.3125,103.740478515625,0.7910955548286438,15.513999938964844
2015-12-04,26.863584518432617,49.04701232910156,38.69362258911133,33.63199996948242,105.5294418334961,0.8232954144477844,15.358667373657227
2015-12-07,26.694318771362305,48.95929718017578,38.38475799560547,33.49150085449219,104.96293640136719,0.8076833486557007,15.408666610717773
2015-12-08,26.68303108215332,48.94175338745117,38.49151611328125,33.86650085449219,105.8375244140625,0.8186606168746948,15.114666938781738
2015-12-09,26.093990325927734,48.23116683959961,37.866329193115234,33.239498138427734,103.95911407470703,0.7979255318641663,14.968000411987305
2015-12-10,26.21811866760254,48.48558044433594,37.7416877746582,33.11600112915039,104.77409362792969,0.8045121431350708,15.137999534606934
2015-12-11,25.543312072753906,47.424102783203125,37.26398468017578,32.00749969482422,101.49433135986328,0.7925590872764587,14.468000411987305
2015-12-14,25.38533592224121,48.37153625488281,37.8658332824707,32.89550018310547,104.01875305175781,0.7945106625556946,14.571999549865723
2015-12-15,24.93620491027832,48.42417526245117,37.744178771972656,32.93199920654297,103.90943145751953,0.804267942905426,14.739333152770996
2015-12-16,25.128042221069336,49.23999786376953,38.56351852416992,33.78850173950195,106.13570404052734,0.8091470003128052,15.633999824523926
2015-12-17,24.59542465209961,48.862796783447266,38.227840423583984,33.532501220703125,105.5692138671875,0.7969498634338379,15.559332847595215
2015-12-18,23.929649353027344,47.48552322387695,37.58328628540039,33.207000732421875,103.40254974365234,0.7840211987495422,15.36400032043457
2015-12-21,24.223039627075195,48.099578857421875,37.77942657470703,33.22549819946289,104.12806701660156,0.8025605082511902,15.503999710083008
2015-12-22,24.200475692749023,48.55575180053711,38.09375762939453,33.157501220703125,104.8635482788086,0.8032921552658081,15.329999923706055
2015-12-23,24.511920928955078,48.96805953979492,38.162288665771484,33.185001373291016,103.98894500732422,0.806463360786438,15.313332557678223
2015-12-24,24.381023406982422,48.83646774291992,38.029701232910156,33.13949966430664,104.37654876708984,0.8091470003128052,15.371333122253418
2015-12-28,24.107938766479492,49.08210754394531,38.84408950805664,33.7599983215332,105.2809829711914,0.8084149956703186,15.263333320617676
2015-12-29,24.541263580322266,49.60844421386719,39.42607879638672,34.69850158691406,106.60282135009766,0.8215879797935486,15.812666893005371
2015-12-30,24.220781326293945,49.397911071777344,39.24433135986328,34.45349884033203,105.5692138671875,0.8145138025283813,15.87266731262207
2015-12-31,23.755861282348633,48.6697998046875,38.634037017822266,33.794498443603516,104.01875305175781,0.8040241599082947,16.000667572021484
2016-01-04,23.776180267333984,48.07327651977539,37.71189880371094,31.84950065612793,101.59371185302734,0.7896318435668945,14.894000053405762
2016-01-05,23.18036460876465,48.292579650878906,37.8156852722168,31.68950080871582,102.10057830810547,0.8023166656494141,14.895333290100098
2016-01-06,22.726734161376953,47.41532897949219,37.7064323425293,31.63249969482422,102.33910369873047,0.7691407799720764,14.602666854858398
2016-01-07,21.767555236816406,45.76611328125,36.79621505737305,30.39699935913086,97.32005310058594,0.7386482954025269,14.376667022705078
2016-01-08,21.88266372680664,45.906463623046875,36.295169830322266,30.352500915527344,96.73365783691406,0.7227922081947327,14.066666603088379
2016-01-11,22.236989974975586,45.8801383972168,36.402435302734375,30.886999130249023,96.91256713867188,0.7240119576454163,13.856666564941406
2016-01-12,22.55972671508789,46.30122756958008,37.0117301940918,30.894500732421875,98.76116180419922,0.7362089157104492,13.998000144958496
2016-01-13,21.97970199584961,45.3011589050293,35.732051849365234,29.090499877929688,94.85525512695312,0.7137664556503296,13.354000091552734
